who,[ 3 -1  3 -3 -3 -3  0  1 -3 -3 -2 -3  0 -1 -1 -3  1  1 -3  1 -3],195.56,196.58666666666667
he's,[ 1  1  3 -3 -3 -3  0 -1 -3 -3  0 -1 -1 -3 -3 -3 -3 -3 -3  1 -3],197.61333333333334,198.759
been,[ 2  0  0 -4 -4 -2  0  4 -4 -4  2 -2 -1 -2 -4 -4 -4 -4 -4  2 -4],199.5593333333333,200.35966666666664
searching,[ 4  2  4 -7 -8 -6  0  2 -8 -8  1 -2 -3 -8 -3 -5 -7 -8 -8  3 -8],201.28,202.16
for.,[ 1  1  3 -2 -3 -3  1  1 -3 -3  2 -1 -1 -1 -2 -2  0 -1 -3  1 -3],203.04,248.658
this,[ 0  2  2 -4 -4 -4  0 -2 -4 -4  1  0 -2 -4 -2 -4 -4 -4 -4  1 -4],248.808,248.479
is,[ 0  0  2 -2 -2 -2  0  0 -2 -2  1  0 -1 -2  0 -2 -2 -2 -2  1 -2],248.928,248.988
a,[ 1 -1  1 -1 -1 -1  0  1 -1 -1  0 -1  0 -1 -1  1 -1 -1 -1  1 -1],249.108,248.479
story,[ 1  1  3 -4 -5 -5  0  1 -5 -5  3  1 -3 -3 -2 -4 -2 -1 -5  2 -5],250.748,250.719
of,[ 0  0  2 -2 -2 -2  1  0 -2 -2  1 -2  0  0 -2 -2  0  0 -2  1 -2],251.118,251.398
boy,[ 1 -1  1 -3 -3 -3  0  3 -3 -3  1 -3  0  1 -1 -3 -1  1 -3  2 -3],251.568,250.719
meets,[ 1  1  1 -5 -5 -3  0  1 -5 -5  3 -1 -2 -3 -5 -5 -5 -5 -5  2 -5],252.84,253.2
girl.,[ 3  1  3 -2 -1 -3  0  3 -3 -3  2  1 -2 -3  0 -2 -2 -3 -3  1 -3],253.55999999999997,253.91999999999996
you,[ 3 -3  3 -3 -3 -3  0  3 -3 -3  0 -3  0  1  1 -3  1  3 -3  3 -3],254.27999999999994,258.029
but,[-1  1 -1 -3 -3 -3  0  1 -3 -3  2 -1 -1  1 -1 -3 -1 -1 -3  1 -3],256.04,258.169
